ts_code,company_name,industry,concept_tags,list_date,exchange
000001.SZ,平安银行,银行,,1991-04-03,SZSE
000002.SZ,万科Ａ,全国地产,,1991-01-29,SZSE
000333.SZ,美的集团,家用电器,,2013-09-18,SZSE
000651.SZ,格力电器,家用电器,,1996-11-18,SZSE
000858.SZ,五粮液,白酒,,1998-04-27,SZSE
002415.SZ,海康威视,IT设备,,2010-05-28,SZSE
002594.SZ,比亚迪,汽车整车,,2011-06-30,SZSE
300059.SZ,东方财富,证券,,2010-03-19,SZSE
300124.SZ,汇川技术,电器仪表,,2010-09-28,SZSE
300308.SZ,中际旭创,通信设备,,2012-04-10,SZSE
300391.SZ,长药退,综合,,2014-08-01,SZSE
300750.SZ,宁德时代,电气设备,,2018-06-11,SZSE
300760.SZ,迈瑞医疗,医疗保健,,2018-10-16,SZSE
600030.SH,中信证券,证券,,2003-01-06,SSE
600031.SH,三一重工,工程机械,,2003-07-03,SSE
600036.SH,招商银行,银行,,2002-04-09,SSE
600048.SH,保利发展,全国地产,,2006-07-31,SSE
600089.SH,特变电工,电气设备,,1997-06-18,SSE
600276.SH,恒瑞医药,化学制药,,2000-10-18,SSE
600436.SH,片仔癀,中成药,,2003-06-16,SSE
600438.SH,通威股份,电气设备,,2004-03-02,SSE
600519.SH,贵州茅台,白酒,,2001-08-27,SSE
600745.SH,闻泰科技,半导体,,1996-08-28,SSE
600887.SH,伊利股份,乳制品,,1996-03-12,SSE
600900.SH,长江电力,水力发电,,2003-11-18,SSE
601012.SH,隆基绿能,电气设备,,2012-04-11,SSE
601088.SH,中国神华,煤炭开采,,2007-10-09,SSE
601166.SH,兴业银行,银行,,2007-02-05,SSE
601225.SH,陕西煤业,煤炭开采,,2014-01-28,SSE
601288.SH,农业银行,银行,,2010-07-15,SSE
601318.SH,中国平安,保险,,2007-03-01,SSE
601398.SH,工商银行,银行,,2006-10-27,SSE
601857.SH,中国石油,石油开采,,2007-11-05,SSE
601888.SH,中国中免,旅游服务,,2009-10-15,SSE
601899.SH,紫金矿业,铜,,2008-04-25,SSE
601939.SH,建设银行,银行,,2007-09-25,SSE
601988.SH,中国银行,银行,,2006-07-05,SSE
603259.SH,药明康德,化学制药,,2018-05-08,SSE
603986.SH,兆易创新,半导体,,2016-08-18,SSE
688111.SH,金山办公,软件服务,,2019-11-18,SSE
688981.SH,中芯国际,半导体,,2020-07-16,SSE
